時間,DD,MDD
2019-02-20,129934.6062849097,226825.87644471187
2019-02-21,129934.6062849097,226825.87644471187
2019-02-22,129934.6062849097,226825.87644471187
2019-02-25,129934.6062849097,226825.87644471187
2019-02-26,129934.6062849097,226825.87644471187
2019-02-27,129934.6062849097,226825.87644471187
2019-03-04,129934.6062849097,226825.87644471187
2019-03-05,129934.6062849097,226825.87644471187
2019-03-06,129934.6062849097,226825.87644471187
2019-03-07,129934.6062849097,226825.87644471187
2019-03-08,129934.6062849097,226825.87644471187
2019-03-11,129934.6062849097,226825.87644471187
2019-03-12,129934.6062849097,226825.87644471187
2019-03-13,135176.71576364007,226825.87644471187
2019-03-14,144034.56239566286,226825.87644471187
2019-03-15,144034.56239566286,226825.87644471187
2019-03-18,144034.56239566286,226825.87644471187
2019-03-19,144034.56239566286,226825.87644471187
2019-03-20,132576.10473265976,226825.87644471187
2019-03-21,132652.09331554046,226825.87644471187
2019-03-22,124805.27226174774,226825.87644471187
2019-03-25,113209.01454236437,226825.87644471187
2019-03-26,107305.90145614785,226825.87644471187
2019-03-27,139219.1066540705,226825.87644471187
2019-03-28,123277.50180199502,226825.87644471187
2019-03-29,126577.00606771477,226825.87644471187
2019-04-01,127864.81258101868,226825.87644471187
2019-04-02,106911.96064405487,226825.87644471187
2019-04-03,106594.00841447011,226825.87644471187
2019-04-08,97061.44063588743,226825.87644471187
2019-04-09,94245.86366245832,226825.87644471187
2019-04-10,75010.75364319398,226825.87644471187
2019-04-11,64806.28681425663,226825.87644471187
2019-04-12,61498.78375012326,226825.87644471187
2019-04-15,73371.000008258,226825.87644471187
2019-04-16,74064.89575359826,226825.87644471187
2019-04-17,60007.00788230063,226825.87644471187
2019-04-18,49558.57770752143,226825.87644471187
2019-04-19,35678.663096363896,226825.87644471187
2019-04-22,42725.60432816399,226825.87644471187
2019-04-23,41429.799016446465,226825.87644471187
2019-04-24,37588.3761711479,226825.87644471187
2019-04-25,29995.516961120906,226825.87644471187
2019-04-26,29603.57584816571,226825.87644471187
